0.054, 0.467, 0.028, 0.017, 0.022, 0.089, 0.013, 0.035, 0.878, 0.010, 0.029, 0.034, 0.001, 0.046, 0.101, 0.038, 0.002, 0.004, 0.011, 0.018, 0.012, 0.012, -0.000, 0.001, 0.364, 0.003, 0.002, 0.000, 0.387, 0.049, 0.000, 0.005, 0.010, 0.916, 0.018, 0.001, 0.160, 0.000, 0.090, 0.031, 0.036, 0.112, 0.064, 0.228, 0.005, 0.029, 0.019, 0.163, 0.020, 0.042, 0.000, 0.000, 0.000, 1.000, -0.000, 0.000, 0.010, 0.025, 0.112, 0.006, 0.847, 0.404, 0.596, 0.000, 0.002, 0.001, 0.002, 0.002, 0.004, 0.000, 0.005, 0.001, -0.000, 0.001, 0.001, 0.001, 0.001, 0.000, 0.000, -0.000, 0.000, 0.002, 0.001, 0.000, 0.001, 0.002, 0.001, 0.000, 0.013, 0.001, 0.000, 0.002, 0.006, 0.001, 0.001, 0.003, 0.000, 0.002, -0.000, 0.000, 0.000, 0.939, 0.002, 0.001

0.603, 0.453, -0.000, 0.096, 0.052, 0.366, 0.029, 0.062, 0.709, 0.050, 0.123, 0.026, 0.000, 0.079, 0.078, 0.026, 0.017, 0.034, 0.079, 0.051, -0.000, -0.000, -0.000, 0.000, 0.000, 0.000, 0.003, -0.000, 0.633, 0.000, 0.000, 0.998, 0.000, -0.000, 0.001, 0.000, 0.049, 0.000, 0.244, 0.128, 0.059, 0.052, 0.087, 0.057, 0.000, 0.044, 0.034, 0.116, 0.027, 0.102, 0.985, 0.000, 0.010, 0.003, 0.001, 0.000, 0.010, 0.020, 0.061, 0.010, 0.900, -0.000, 1.000, 0.001, 0.003, 0.002, 0.002, 0.005, 0.003, 0.001, 0.004, 0.001, -0.000, 0.004, 0.001, 0.002, 0.001, 0.000, -0.000, 0.000, 0.000, 0.001, 0.001, -0.000, 0.004, 0.003, 0.000, 0.001, 0.052, 0.001, 0.000, 0.001, 0.006, 0.003, 0.002, 0.004, 0.000, 0.001, 0.001, 0.000, 0.001, 0.886, 0.002, 0.001

0.195, 0.511, 0.000, 0.045, 0.033, 0.308, 0.020, 0.033, 0.831, 0.017, 0.074, 0.024, -0.000, 0.049, 0.051, 0.022, 0.011, 0.025, 0.024, 0.025, -0.000, -0.000, -0.000, -0.000, 0.491, 0.000, 0.005, -0.000, 0.296, 0.130, 0.000, 0.002, 0.038, 0.741, 0.071, 0.019, 0.070, 0.001, 0.231, 0.058, 0.060, 0.113, 0.098, 0.126, 0.000, 0.031, 0.023, 0.090, 0.017, 0.081, 0.000, 0.768, 0.134, -0.000, 0.098, -0.000, 0.015, 0.026, 0.123, 0.014, 0.822, -0.000, 1.000, 0.001, 0.003, 0.001, 0.002, 0.001, 0.004, 0.002, 0.008, 0.003, 0.000, 0.003, 0.000, 0.009, 0.003, 0.000, 0.001, 0.001, 0.000, 0.002, 0.001, 0.002, 0.001, 0.003, 0.002, 0.001, 0.058, 0.002, 0.001, 0.001, 0.004, 0.002, 0.000, 0.006, -0.000, 0.001, 0.000, 0.001, 0.000, 0.863, 0.004, 0.000

0.855, 0.396, 0.191, 0.059, 0.037, 0.236, 0.042, 0.086, 0.737, 0.025, 0.066, 0.044, 0.000, 0.033, 0.027, 0.010, 0.006, 0.006, 0.029, 0.019, 0.033, 0.038, 0.062, 0.007, 0.417, 0.044, 0.000, 0.006, 0.261, 0.751, 0.000, 0.000, 0.019, 0.000, 0.057, 0.173, 0.203, 0.000, 0.080, 0.140, 0.014, 0.023, 0.071, 0.165, 0.014, 0.099, 0.012, 0.110, 0.028, 0.041, 0.000, 0.944, 0.028, 0.027, 0.000, -0.000, 0.011, 0.014, 0.091, 0.005, 0.879, 0.765, 0.235, 0.000, 0.004, 0.001, 0.003, 0.004, 0.002, 0.000, 0.002, 0.004, 0.001, 0.007, 0.000, 0.002, 0.000, -0.000, 0.000, -0.000, 0.001, -0.000, 0.000, 0.001, 0.002, 0.003, 0.002, 0.000, 0.004, 0.001, 0.000, 0.001, 0.001, 0.001, 0.001, 0.004, 0.000, 0.000, 0.000, 0.001, 0.000, 0.941, 0.002, 0.000

0.645, 0.416, 1.000, 0.169, 0.088, 0.511, 0.043, 0.086, 0.617, 0.082, 0.110, 0.062, 0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000, 0.078, 0.123, 0.494, 0.051, 0.000, 0.177, -0.000, 0.076, 0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000, 0.000, 0.046, 0.000, 0.084, 0.269, 0.023, 0.011, 0.018, 0.016, 0.000, 0.319, 0.025, 0.133, 0.038, 0.017, 0.994, 0.000, 0.004, 0.002, -0.000, 0.000, 0.002, 0.048, 0.032, 0.004, 0.915, -0.000, 1.000, 0.000, 0.006, 0.005, 0.001, 0.003, 0.000, 0.001, 0.002, 0.005, 0.002, 0.006, 0.002, 0.000, 0.000, 0.000, -0.000, 0.001, 0.000, 0.011, 0.004, 0.001, 0.003, 0.001, 0.004, 0.000, 0.004, 0.001, -0.000, 0.000, 0.010, 0.001, 0.001, 0.002, 0.000, 0.003, 0.004, 0.000, -0.000, 0.910, 0.002, 0.001

